birds,state,category_name,spCode,imgLink
Acorn Woodpecker,OR,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,TX,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,UT,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,WA,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
African Silverbill,HI,0,afrsil1,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/b21a6645c.jpg?itok=nfYOiOIo
Maui Akepa,HI,finches,akepa3,no image
Alder Flycatcher,AK,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,AL,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,AR,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,CA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,CO,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,CT,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,DC,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,DE,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,FL,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,GA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,IA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,IL,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,IN,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,KS,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,KY,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,LA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MD,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,ME,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MI,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MN,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MO,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MS,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,MT,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,NC,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,ND,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,NE,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,NH,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,NJ,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,NY,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,OH,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,OK,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,OR,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
