day,month,numChecklists,numContributors,numSpecies,state
1,1,167,121,180,SC
2,1,220,133,188,SC
3,1,111,83,155,SC
4,1,210,114,186,SC
5,1,134,90,165,SC
6,1,123,94,169,SC
7,1,140,107,143,SC
8,1,161,99,169,SC
9,1,108,69,152,SC
10,1,96,72,155,SC
11,1,121,79,158,SC
12,1,99,78,156,SC
13,1,135,108,182,SC
14,1,315,144,170,SC
15,1,234,137,167,SC
16,1,133,96,165,SC
17,1,112,81,163,SC
18,1,114,76,159,SC
19,1,84,68,158,SC
20,1,103,72,149,SC
21,1,89,77,154,SC
22,1,60,54,120,SC
23,1,77,58,145,SC
24,1,91,60,154,SC
25,1,117,86,149,SC
26,1,67,45,120,SC
27,1,127,72,144,SC
28,1,130,96,159,SC
29,1,154,94,154,SC
30,1,85,64,147,SC
31,1,108,66,159,SC
1,2,84,69,151,SC
2,2,82,71,149,SC
3,2,63,64,142,SC
4,2,103,80,155,SC
5,2,117,86,165,SC
6,2,88,53,132,SC
7,2,75,55,147,SC
8,2,94,77,135,SC
9,2,68,63,140,SC
10,2,111,75,160,SC
11,2,139,119,171,SC
12,2,141,106,170,SC
13,2,82,76,167,SC
14,2,80,79,152,SC
15,2,76,70,142,SC
16,2,83,75,162,SC
17,2,387,325,170,SC
18,2,624,468,182,SC
19,2,559,425,185,SC
20,2,362,289,177,SC
21,2,82,77,159,SC
22,2,96,89,162,SC
23,2,97,72,161,SC
24,2,107,85,168,SC
25,2,149,118,166,SC
26,2,135,107,162,SC
27,2,100,76,146,SC
28,2,84,67,156,SC
1,3,85,64,146,SC
2,3,106,71,151,SC
3,3,79,73,160,SC
4,3,154,102,158,SC
5,3,112,94,170,SC
6,3,74,69,152,SC
7,3,92,71,150,SC
8,3,72,77,150,SC
9,3,87,69,160,SC
10,3,80,73,150,SC
11,3,136,113,165,SC
12,3,106,81,153,SC
13,3,88,78,158,SC
14,3,66,66,145,SC
15,3,70,62,143,SC
16,3,81,66,160,SC
17,3,93,96,146,SC
18,3,127,90,163,SC
19,3,104,96,166,SC
20,3,77,70,151,SC
21,3,81,73,156,SC
22,3,100,80,147,SC
23,3,66,61,138,SC
24,3,104,88,155,SC
25,3,157,111,177,SC
26,3,280,106,179,SC
27,3,156,93,173,SC
28,3,96,69,159,SC
29,3,114,99,169,SC
30,3,100,86,168,SC
31,3,97,79,160,SC
1,4,185,125,178,SC
2,4,127,100,165,SC
3,4,74,71,157,SC
4,4,101,88,187,SC
5,4,81,72,158,SC
6,4,65,67,136,SC
7,4,98,73,170,SC
8,4,182,123,185,SC
9,4,117,107,182,SC
10,4,96,84,167,SC
11,4,112,85,178,SC
