day,month,numChecklists,numContributors,numSpecies,state
1,1,210,94,172,NM
2,1,225,102,173,NM
3,1,110,72,143,NM
4,1,128,74,158,NM
5,1,85,66,129,NM
6,1,61,58,127,NM
7,1,130,88,164,NM
8,1,139,88,156,NM
9,1,92,68,154,NM
10,1,96,64,127,NM
11,1,101,76,158,NM
12,1,91,77,152,NM
13,1,103,80,153,NM
14,1,210,105,161,NM
15,1,92,64,135,NM
16,1,148,80,158,NM
17,1,97,59,111,NM
18,1,89,66,120,NM
19,1,78,61,127,NM
20,1,80,62,130,NM
21,1,88,51,150,NM
22,1,173,73,162,NM
23,1,54,46,108,NM
24,1,53,42,102,NM
25,1,72,51,135,NM
26,1,113,50,137,NM
27,1,92,55,131,NM
28,1,254,91,162,NM
29,1,227,105,169,NM
30,1,94,63,132,NM
31,1,74,57,140,NM
1,2,80,58,136,NM
2,2,69,58,132,NM
3,2,130,67,164,NM
4,2,191,102,170,NM
5,2,181,93,156,NM
6,2,74,53,115,NM
7,2,69,51,134,NM
8,2,104,76,144,NM
9,2,132,67,146,NM
10,2,141,77,149,NM
11,2,189,103,165,NM
12,2,116,56,145,NM
13,2,59,50,95,NM
14,2,77,59,119,NM
15,2,86,61,142,NM
16,2,111,78,137,NM
17,2,321,235,161,NM
18,2,656,332,176,NM
19,2,532,283,192,NM
20,2,412,200,168,NM
21,2,107,70,133,NM
22,2,82,71,119,NM
23,2,74,54,134,NM
24,2,91,58,141,NM
25,2,152,89,161,NM
26,2,135,87,171,NM
27,2,90,66,125,NM
28,2,66,46,114,NM
1,3,137,76,160,NM
2,3,132,80,157,NM
3,3,104,69,151,NM
4,3,185,89,183,NM
5,3,146,88,174,NM
6,3,63,52,110,NM
7,3,76,65,139,NM
8,3,88,67,150,NM
9,3,150,78,146,NM
10,3,168,82,157,NM
11,3,174,102,187,NM
12,3,150,95,179,NM
13,3,87,63,134,NM
14,3,126,80,141,NM
15,3,124,82,160,NM
16,3,129,77,160,NM
17,3,136,85,162,NM
18,3,231,120,181,NM
19,3,172,103,167,NM
20,3,98,65,138,NM
21,3,99,76,135,NM
22,3,109,86,156,NM
23,3,89,68,142,NM
24,3,94,63,140,NM
25,3,189,91,194,NM
26,3,159,98,176,NM
27,3,81,63,149,NM
28,3,78,66,156,NM
29,3,91,66,168,NM
30,3,88,70,164,NM
31,3,69,69,163,NM
1,4,122,80,175,NM
2,4,216,99,183,NM
3,4,98,71,158,NM
4,4,64,53,138,NM
5,4,109,72,166,NM
6,4,164,94,176,NM
7,4,123,88,182,NM
8,4,189,109,202,NM
9,4,156,103,197,NM
10,4,94,86,183,NM
11,4,105,76,159,NM
12,4,128,83,179,NM
13,4,141,81,200,NM
14,4,170,99,197,NM
15,4,181,106,202,NM
16,4,203,115,212,NM
17,4,103,81,192,NM
18,4,100,83,177,NM
19,4,81,67,169,NM
20,4,142,83,187,NM
21,4,166,88,219,NM
22,4,172,105,242,NM
23,4,179,97,205,NM
24,4,112,82,188,NM
25,4,85,65,173,NM
26,4,134,87,217,NM
27,4,105,77,215,NM
28,4,108,85,223,NM
29,4,176,104,226,NM
30,4,182,115,251,NM
1,5,160,99,221,NM
2,5,161,109,231,NM
3,5,123,94,212,NM
4,5,146,96,226,NM
5,5,164,110,225,NM
6,5,313,125,257,NM
7,5,213,124,235,NM
8,5,125,91,202,NM
9,5,112,79,187,NM
10,5,146,80,201,NM
11,5,134,87,212,NM
12,5,172,91,246,NM
13,5,634,176,286,NM
14,5,161,115,226,NM
15,5,101,74,211,NM
16,5,99,77,186,NM
17,5,109,79,206,NM
18,5,84,61,185,NM
19,5,150,73,229,NM
20,5,170,104,228,NM
21,5,173,91,213,NM
22,5,100,68,191,NM
23,5,121,81,205,NM
24,5,121,91,203,NM
25,5,66,58,173,NM
26,5,124,81,188,NM
27,5,143,81,199,NM
28,5,185,103,218,NM
29,5,176,101,185,NM
30,5,137,77,185,NM
31,5,160,73,202,NM
1,6,120,80,172,NM
2,6,103,60,181,NM
3,6,268,90,203,NM
4,6,263,84,196,NM
5,6,112,56,162,NM
6,6,123,71,171,NM
7,6,121,71,185,NM
8,6,122,63,157,NM
9,6,134,74,182,NM
10,6,131,76,180,NM
11,6,192,80,190,NM
12,6,81,63,155,NM
13,6,121,52,150,NM
14,6,107,63,157,NM
15,6,91,57,154,NM
16,6,63,55,177,NM
17,6,158,80,191,NM
18,6,198,76,184,NM
19,6,66,58,135,NM
20,6,55,48,138,NM
21,6,71,61,171,NM
22,6,71,57,147,NM
23,6,61,55,160,NM
24,6,229,86,201,NM
25,6,133,78,193,NM
26,6,83,59,165,NM
27,6,94,67,175,NM
28,6,86,65,171,NM
29,6,64,51,164,NM
30,6,60,48,164,NM
1,7,69,62,164,NM
2,7,98,63,168,NM
3,7,103,63,183,NM
4,7,102,74,171,NM
5,7,79,50,167,NM
6,7,100,61,165,NM
7,7,61,53,151,NM
8,7,115,71,201,NM
9,7,121,62,183,NM
10,7,70,51,158,NM
11,7,79,54,157,NM
12,7,64,62,164,NM
13,7,77,78,175,NM
14,7,109,70,190,NM
15,7,191,90,202,NM
16,7,93,66,185,NM
17,7,63,53,155,NM
18,7,71,57,172,NM
19,7,76,62,166,NM
20,7,82,62,159,NM
21,7,72,48,161,NM
22,7,141,90,202,NM
23,7,197,82,201,NM
24,7,55,60,159,NM
25,7,63,58,164,NM
26,7,43,37,149,NM
27,7,67,56,166,NM
28,7,82,63,171,NM
29,7,108,62,183,NM
30,7,133,69,193,NM
31,7,60,43,145,NM
1,8,78,54,152,NM
2,8,63,60,154,NM
3,8,71,55,160,NM
4,8,79,49,203,NM
5,8,72,65,176,NM
6,8,132,69,216,NM
7,8,62,45,158,NM
8,8,70,55,176,NM
9,8,72,59,167,NM
10,8,56,49,161,NM
11,8,72,62,173,NM
12,8,124,85,210,NM
13,8,121,85,210,NM
14,8,61,55,161,NM
15,8,96,71,190,NM
16,8,80,78,183,NM
17,8,88,69,187,NM
18,8,80,74,186,NM
19,8,200,80,217,NM
20,8,141,74,217,NM
21,8,85,55,160,NM
22,8,57,52,153,NM
23,8,62,54,175,NM
24,8,88,68,184,NM
25,8,85,64,174,NM
26,8,206,90,216,NM
27,8,110,77,206,NM
28,8,62,51,165,NM
