carabao
crocodile
alligator
alpaca
ant
antelope
ape
armadillo
ass
baboon
badger
bat
bear
beaver
bee
beetle
buffalo
butterfly
camel
water buffalo
caribou
cat
cattle
cheetah
chimpanzee
chinchilla
cicada
clam
cockroach
cod
coyote
crab
cricket
deer
dinosaur
dog
dolphin
porpoise
eel
elephant
elk
ferret
fish
fly
fox
frog
gerbil
giraffe
gnat
gnu
goat
goldfish
gorilla
grasshopper
guinea pig
hamster
hare
hedgehog
herring
hippopotamus
hornet
horse
hound
hyena
impala
insect
jackal
jellyfish
kangaroo
koala
leopard
lion
lizard
llama
locust
louse
wallaby
mammoth
manatee
marten
mink
minnow
mole
monkey
moose
mosquito
mouse
mule
muskrat
otter
ox
oyster
panda
pig
platypus
porcupine
prairie dog
pug
rabbit
raccoon
reindeer
rhinoceros
salmon
sardine
scorpion
seal
serval
shark
sheep
skunk
snail
snake
spider
squirrel
swan
termite
tiger
trout
turtle
walrus
wasp
weasel
whale
wolf
wombat
woodchuck
worm
yak
yellowjacket
zebra
donkey
burro
sea lion
tortoise
hog
swine
rat
toad
wildebeest
