Common Name,Species Code
Tundra Swan (Whistling),tunswa1
Tundra Swan (Bewick's),bewswa1
Tundra Swan (Whistling x Bewick's),tunswa2
Trumpeter x Tundra Swan (hybrid),x00418
Trumpeter/Tundra Swan,y00471
Whooper Swan,whoswa
Trumpeter x Whooper Swan (hybrid),x00419
Tundra/Whooper Swan,y00708
swan sp.,swan1
Coscoroba Swan,cosswa1
Comb Duck,comduc1
Comb Duck (Old World),comduc2
Comb Duck (South American),comduc3
Hartlaub's Duck,harduc1
Orinoco Goose,origoo1
Andean Goose,andgoo1
Upland Goose,uplgoo1
Upland Goose (White-breasted),uplgoo2
Upland Goose (Bar-breasted),uplgoo3
Kelp Goose,kelgoo1
Ashy-headed Goose,ashgoo1
Ruddy-headed Goose,ruhgoo1
Chloephaga sp.,chloep1
Egyptian Goose,egygoo
Ruddy Shelduck,rudshe
South African Shelduck,soashe1
Australian Shelduck,ausshe1
Paradise Shelduck,parshe1
Common Shelduck,comshe
Ruddy x Common Shelduck (hybrid),x00876
Radjah Shelduck,radshe1
Crested Shelduck,creshe1
Spur-winged Goose,spwgoo1
Spur-winged Goose (Northern),spwgoo2
Spur-winged Goose (Southern),spwgoo3
Flying Steamer-Duck,flystd1
Flightless Steamer-Duck,flistd1
Falkland Steamer-Duck,falstd1
White-headed Steamer-Duck,whhstd1
steamer-duck sp.,steame1
Crested Duck,creduc1
Spectacled Duck,speduc2
Muscovy Duck,musduc
Muscovy Duck (Established Feral),musduc3
Muscovy Duck (Domestic type),musduc2
Green Pygmy-Goose,grnpyg1
Cotton Pygmy-Goose,copgoo1
African Pygmy-Goose,afrpyg1
Ringed Teal,rintea1
Wood Duck,wooduc
Mandarin Duck,manduc
Wood x Mandarin Duck (hybrid),x00833
Maned Duck,manduc1
Brazilian Teal,bratea1
Blue Duck,bluduc1
Torrent Duck,torduc1
Salvadori's Teal,saltea1
Baikal Teal,baitea
Garganey,gargan
Hottentot Teal,hottea1
Silver Teal,siltea1
Puna Teal,puntea1
Blue-winged Teal,buwtea
Cinnamon Teal,cintea
Blue-winged x Cinnamon Teal (hybrid),bwxtea1
Blue-winged/Cinnamon Teal,y00314
Red Shoveler,redsho1
Cape Shoveler,capsho1
Australian Shoveler,aussho1
Northern Shoveler,norsho
Garganey x Northern Shoveler (hybrid),x00836
Blue-winged Teal x Northern Shoveler (hybrid),x00629
Cinnamon Teal x Northern Shoveler (hybrid),x00630
Gadwall,gadwal
Gadwall (Common),gadwal1
Gadwall (Coues's),gadwal2
Northern Shoveler x Gadwall (hybrid),x00457
Falcated Duck,falduc
Eurasian Wigeon,eurwig
Gadwall x Eurasian Wigeon (hybrid),x00723
American Wigeon,amewig
Wood Duck x American Wigeon (hybrid),x00877
Northern Shoveler x American Wigeon (hybrid),x00777
Gadwall x American Wigeon (hybrid),x00724
Eurasian x American Wigeon (hybrid),x00421
Eurasian/American Wigeon,y00670
Chiloe Wigeon,chiwig1
African Black Duck,afbduc1
Yellow-billed Duck,yebduc1
Meller's Duck,melduc1
Pacific Black Duck,pabduc1
Laysan Duck,layduc
Hawaiian Duck,hawduc
Philippine Duck,phiduc1
Indian Spot-billed Duck,isbduc1
Eastern Spot-billed Duck,spbduc
Indian/Eastern Spot-billed Duck,y00830
Mallard,mallar
Mallard (Northern),mallar3
Mallard (Mexican),mexduc
Mallard (Mexican intergrade),mallar4
Mallard (Domestic type),mallar2
Muscovy Duck x Mallard (hybrid),mdxmal1
Wood Duck x Mallard (hybrid),x00205
Northern Shoveler x Mallard (hybrid),x00612
Gadwall x Mallard (hybrid),x00420
Eurasian Wigeon x Mallard (hybrid),x00647
American Wigeon x Mallard (hybrid),x00611
Yellow-billed Duck x Mallard (hybrid),x00760
Mallard x Pacific Black Duck (hybrid),x00458
Mallard x Indian Spot-billed Duck (hybrid),x00834
Mallard x Eastern Spot-billed Duck (hybrid),x00835
Mallard x Hawaiian Duck (hybrid),x00423
American Black Duck,ambduc
Mallard x American Black Duck (hybrid),x00004
Mallard/American Black Duck,y00600
Mottled Duck,motduc
Mottled Duck (Florida),motduc1
Mottled Duck (Gulf Coast),motduc2
Mallard x Mottled Duck (hybrid),x00422
Mallard/Mottled Duck,y00632
American Black/Mottled Duck,y00633
Cape Teal,captea1
White-cheeked Pintail,whcpin
White-cheeked Pintail (White-cheeked),whcpin1
